# Format: "Card Name",SET,https://link-to-png
2 Plains	ANB	https://cards.scryfall.io/png/front/6/f/6f284507-5cdc-48ee-9bc8-724045814664.png?1783929780
2 Island	ANB	https://cards.scryfall.io/png/front/7/a/7a8550f5-cf3c-4061-8010-74b3d8709c68.png?1783929781
2 Swamp	ANB	https://cards.scryfall.io/png/front/2/4/24f796dc-7a6b-4652-9268-3523d7b54e94.png?1783929780
2 Mountain	ANB	https://cards.scryfall.io/png/front/3/3/330e5230-7c5a-4720-b582-1087e5aa0cf8.png?1783929779
2 Forest	ANB	https://cards.scryfall.io/png/front/7/e/7ef83f4c-d3ff-4905-a16d-f2bae673a5b2.png?1783929782
1 Serra Angel	ANB	https://cards.scryfall.io/png/front/d/9/d97ae05c-4186-4b76-b674-d1aebd25ba46.png?1783929841
1 Essence Scatter	SOS	https://cards.scryfall.io/png/front/3/2/32840097-0531-4c43-b6a8-e76c17420b04.png?1783903696
1 Preordain	M11	https://cards.scryfall.io/png/front/e/3/e3868c3d-4fcd-444b-866f-0f8e50ce7b67.png?1783941822
1 Duress	FDN	https://cards.scryfall.io/png/front/3/4/34c3a894-ee75-4db9-a69f-711bb3cc150a.png?1783908930
1 Lightning Bolt	MSC	https://cards.scryfall.io/png/front/7/6/7673784e-db4b-43a1-8d55-1bb9fc1e284f.png?1783903008
1 Viashino Pyromancer	FDN	https://cards.scryfall.io/png/front/9/f/9f52ada2-cabc-46a3-99df-271833a86909.png?1783908920
1 Llanowar Elves	FDN	https://cards.scryfall.io/png/front/6/a/6a0b230b-d391-4998-a3f7-7b158a0ec2cd.png?1783909057
1 Wood Elves	HOB	https://cards.scryfall.io/png/front/2/4/2476e42b-b209-4207-8ed9-cb668f89b218.png?1783902784
1 Giant Growth	M10	https://cards.scryfall.io/png/front/3/d/3df3116a-ce5c-44d1-9286-7deb5d516c90.png?1783942363
1 Doomed Traveler	ISD	https://cards.scryfall.io/png/front/6/5/652c3bbb-cac8-47ad-81de-41e954e17a29.png?1783940996
1 Murder	DSK	https://cards.scryfall.io/png/front/2/c/2c249609-9cf7-46f1-b94c-9329add966bb.png?1783909477
1 Rampant Growth	TDC	https://cards.scryfall.io/png/front/b/7/b7c47024-5e08-4b17-b41a-7647f8b814b9.png?1783907042
1 Phyrexian Rager	MOC	https://cards.scryfall.io/png/front/a/9/a9861fb3-6722-43b8-bf0a-af6dd166e59d.png?1783917153
1 Cancel	M10	https://cards.scryfall.io/png/front/2/6/2667f1d1-18d3-4bb4-a071-dd65b237d733.png?1783942395
1 Doom Blade	M10	https://cards.scryfall.io/png/front/6/e/6e19acff-f3dd-417a-a9ab-ea3e36c1ba61.png?1783942383
