# Format: "Card Name",SET,https://link-to-png
2 Plains	ANB	https://cards.scryfall.io/png/front/6/f/6f284507-5cdc-48ee-9bc8-724045814664.png?1783929780
2 Island	ANB	https://cards.scryfall.io/png/front/7/a/7a8550f5-cf3c-4061-8010-74b3d8709c68.png?1783929781
2 Swamp	ANB	https://cards.scryfall.io/png/front/2/4/24f796dc-7a6b-4652-9268-3523d7b54e94.png?1783929780
2 Mountain	ANB	https://cards.scryfall.io/png/front/3/3/330e5230-7c5a-4720-b582-1087e5aa0cf8.png?1783929779
2 Forest	ANB	https://cards.scryfall.io/png/front/7/e/7ef83f4c-d3ff-4905-a16d-f2bae673a5b2.png?1783929782
1 Cloudfin Raptor	RVR	https://cards.scryfall.io/png/front/5/4/54bb0672-adb4-4aad-a4c0-77a0e7373bac.png?1783913340
1 Essence Scatter	SOS	https://cards.scryfall.io/png/front/3/2/32840097-0531-4c43-b6a8-e76c17420b04.png?1783903696
1 Negate	TMT	https://cards.scryfall.io/png/front/5/2/52d58fe4-6070-4022-9cd7-c35a11b44525.png?1783904112
1 Duress	FDN	https://cards.scryfall.io/png/front/3/4/34c3a894-ee75-4db9-a69f-711bb3cc150a.png?1783908930
1 Counterspell	DSC	https://cards.scryfall.io/png/front/4/f/4f616706-ec97-4923-bb1e-11a69fbaa1f8.png?1783909630
1 Lightning Bolt	MSC	https://cards.scryfall.io/png/front/7/6/7673784e-db4b-43a1-8d55-1bb9fc1e284f.png?1783903008
1 Lava Coil	2X2	https://cards.scryfall.io/png/front/8/0/802c39df-4b92-4acc-92f9-bebd3d405471.png?1783921884
1 Shock	MSC	https://cards.scryfall.io/png/front/b/2/b23900fb-efe9-43ab-9f67-4545dd01fb9c.png?1783903007
1 Wood Elves	HOB	https://cards.scryfall.io/png/front/2/4/2476e42b-b209-4207-8ed9-cb668f89b218.png?1783902784
1 Giant Growth	M10	https://cards.scryfall.io/png/front/3/d/3df3116a-ce5c-44d1-9286-7deb5d516c90.png?1783942363
1 Ambush Viper	INR	https://cards.scryfall.io/png/front/3/7/37f9be6b-ae6e-4708-9749-83bebd351102.png?1783908103
1 Knight of the White Orchid	MOC	https://cards.scryfall.io/png/front/f/3/f332cd21-46ed-4fff-9fd9-d5975bf0004d.png?1783917182
1 Mulldrifter	ECC	https://cards.scryfall.io/png/front/3/d/3de308cc-14ac-407e-99e7-568572ecd0e7.png?1783904564
1 Preordain	M11	https://cards.scryfall.io/png/front/e/3/e3868c3d-4fcd-444b-866f-0f8e50ce7b67.png?1783941822
1 Disperse	M19	https://cards.scryfall.io/png/front/2/f/2ff7c89c-41dc-4ac3-bbce-38ab86f435ea.png?1783934590
